0,1,2,3,4,5,6,7,8
22964,22964,22964,22964,22964,22964,22964,22964,22964
22982,22982,22982,22982,22982,22982,22982,22982,22982
22998,22998,22998,22998,22998,22998,22998,22998,22998
23016,23016,23016,23016,23016,23016,23016,23016,23016
23032,23032,23032,23032,23032,23032,23032,23032,23032
23048,23048,23048,23048,23048,23048,23048,23048,23048
23065,23065,23065,23065,23065,23065,23065,23065,23065
23082,23082,23082,23082,23082,23082,23082,23082,23082
23099,23099,23099,23099,23099,23099,23099,23099,23099
23115,23115,23115,23115,23115,23115,23115,23115,23115
23132,23132,23132,23132,23132,23132,23132,23132,23132
23148,23148,23148,23148,23148,23148,23148,23148,23148
23166,23166,23166,23166,23166,23166,23166,23166,23166
23181,23181,23181,23181,23181,23181,23181,23181,23181
23198,23198,23198,23198,23198,23198,23198,23198,23198
23215,23215,23215,23215,23215,23215,23215,23215,23215
23231,23231,23231,23231,23231,23231,23231,23231,23231
23249,23249,23249,23249,23249,23249,23249,23249,23249
23264,23264,23264,23264,23264,23264,23264,23264,23264
23282,23282,23282,23282,23282,23282,23282,23282,23282
23298,23298,23298,23298,23298,23298,23298,23298,23298
23315,23315,23315,23315,23315,23315,23315,23315,23315
23331,23331,23331,23331,23331,23331,23331,23331,23331
23348,23348,23348,23348,23348,23348,23348,23348,23348
23365,23365,23365,23365,23365,23365,23365,23365,23365
23382,23382,23382,23382,23382,23382,23382,23382,23382
23398,23398,23398,23398,23398,23398,23398,23398,23398
23415,23415,23415,23415,23415,23415,23415,23415,23415
23432,23432,23432,23432,23432,23432,23432,23432,23432
23448,23448,23448,23448,23448,23448,23448,23448,23448
23464,23464,23464,23464,23464,23464,23464,23464,23464
23480,23480,23480,23480,23480,23480,23480,23480,23480
23498,23498,23498,23498,23498,23498,23498,23498,23498
23514,23514,23514,23514,23514,23514,23514,23514,23514
23530,23530,23530,23530,23530,23530,23530,23530,23530
23548,23548,23548,23548,23548,23548,23548,23548,23548
23564,23564,23564,23564,23564,23564,23564,23564,23564
23581,23581,23581,23581,23581,23581,23581,23581,23582
23598,23598,23598,23598,23598,23598,23598,23598,23598
23614,23614,23614,23614,23614,23614,23614,23614,23614
23631,23631,23631,23631,23631,23631,23631,23631,23631
23648,23648,23648,23648,23648,23648,23648,23648,23648
23664,23664,23664,23664,23664,23664,23664,23664,23664
23681,23681,23681,23681,23681,23681,23681,23681,23681
23698,23698,23698,23698,23698,23698,23698,23698,23698
23714,23714,23714,23714,23714,23714,23714,23714,23714
23731,23731,23731,23731,23731,23731,23731,23731,23731
23748,23748,23748,23748,23748,23748,23748,23748,23748
23764,23764,23764,23764,23764,23764,23764,23764,23764
23781,23781,23781,23781,23781,23781,23781,23781,23781
23798,23798,23798,23798,23798,23798,23798,23798,23798
23815,23815,23815,23815,23815,23815,23815,23815,23815
23831,23831,23831,23831,23831,23831,23831,23831,23831
