0,1,2,3,4,5,6,7,8
-14,-5,-1,0,3,-16,-5,-11,-18
-14,-5,-1,0,3,-16,-5,-11,-18
-14,-5,-1,0,3,-16,-5,-11,-18
-14,-5,-1,0,3,-16,-5,-11,-18
-14,-5,-1,0,3,-16,-5,-11,-18
-15,-5,-1,0,3,-16,-5,-11,-18
-15,-5,-1,0,3,-17,-5,-11,-18
-15,-5,-1,0,2,-17,-5,-11,-18
-15,-5,-1,0,2,-17,-5,-11,-18
-15,-5,-1,0,2,-17,-5,-11,-18
-15,-5,-1,0,2,-17,-5,-11,-18
-15,-5,-1,0,2,-17,-5,-11,-18
-16,-5,-1,0,2,-17,-5,-11,-18
-16,-5,-1,0,2,-17,-6,-11,-18
-16,-5,-1,0,3,-17,-6,-11,-18
-17,-5,-1,0,3,-17,-6,-12,-18
-17,-5,-1,0,3,-17,-6,-12,-18
-17,-5,-1,0,3,-17,-6,-12,-18
-17,-5,-1,0,3,-17,-6,-12,-17
-17,-5,-1,0,4,-17,-6,-12,-17
-17,-5,-1,0,4,-17,-6,-12,-17
-17,-5,-1,0,4,-16,-6,-12,-17
-17,-5,-1,0,4,-16,-6,-12,-16
-17,-5,-1,0,4,-16,-6,-12,-16
-17,-5,-1,0,4,-16,-6,-12,-16
-17,-5,-1,0,4,-15,-6,-12,-17
-17,-5,-1,0,4,-16,-6,-12,-17
-17,-5,-1,0,4,-16,-6,-12,-17
-17,-5,-1,0,3,-16,-6,-12,-17
-17,-5,-1,0,3,-16,-6,-12,-17
-17,-5,-1,0,3,-17,-6,-12,-18
-17,-5,-1,0,2,-17,-6,-12,-18
-18,-5,-1,0,2,-17,-6,-12,-18
-18,-5,-1,0,2,-18,-6,-12,-18
-18,-5,-1,0,1,-18,-6,-12,-18
-18,-5,-1,0,1,-18,-7,-12,-19
-18,-5,-1,0,1,-19,-7,-12,-19
-18,-5,-1,0,1,-19,-7,-12,-19
-18,-5,-1,0,0,-19,-7,-12,-19
-18,-5,-1,0,0,-19,-7,-12,-19
-18,-5,-1,0,0,-20,-7,-12,-19
-18,-5,-1,0,0,-21,-7,-12,-19
-18,-5,-1,0,0,-21,-7,-12,-19
-18,-5,-1,0,-1,-21,-7,-12,-19
-18,-5,-1,0,-1,-21,-7,-12,-19
-18,-5,-1,0,-1,-21,-7,-12,-19
-18,-5,-1,0,-1,-21,-7,-12,-19
-18,-5,-1,0,-1,-21,-7,-12,-19
-18,-5,-1,0,-1,-20,-7,-12,-19
-17,-5,-1,0,-1,-20,-7,-12,-19
-17,-5,-1,0,-1,-18,-6,-11,-19
-15,-5,-1,0,-1,-16,-6,-11,-19
-13,-5,-1,0,-1,-16,-5,-11,-18
-13,-5,-1,0,-1,-15,-4,-11,-18
-11,-4,-1,0,-1,-15,-4,-10,-18
-11,-4,-1,0,-1,-14,-3,-9,-15
-10,-3,-1,0,-1,-14,-3,-9,-15
-9,-3,-1,0,-1,-13,-3,-8,-14
-9,-3,-1,0,-1,-13,-3,-8,-14
-9,-3,-1,0,-1,-13,-3,-7,-13
-9,-3,-1,0,-1,-13,-3,-7,-13
-9,-3,-1,0,-1,-13,-3,-7,-12
-10,-3,-1,0,-1,-13,-3,-7,-12
-10,-3,-1,0,-1,-13,-3,-7,-12
-11,-4,-1,0,-1,-13,-3,-8,-13
-11,-4,-1,0,-1,-14,-3,-9,-14
-12,-4,-1,0,-1,-14,-3,-9,-14
-12,-4,-1,0,-1,-14,-4,-9,-16
-12,-5,-1,0,-1,-14,-4,-9,-16
-15,-5,-1,0,-1,-14,-4,-10,-17
-15,-5,-1,0,-1,-16,-4,-11,-17
-17,-5,-1,0,-1,-16,-4,-11,-18
-17,-5,-1,0,-1,-16,-5,-11,-18
-17,-5,-1,0,-1,-17,-5,-11,-18
-18,-5,-1,0,-1,-17,-5,-11,-18
-18,-5,-1,0,0,-18,-6,-11,-18
-18,-5,-1,0,0,-18,-6,-12,-18
-18,-5,-1,0,0,-19,-7,-12,-18
-18,-5,-1,0,0,-19,-7,-12,-18
-18,-5,-1,0,0,-19,-7,-12,-18
-18,-5,-1,0,0,-19,-6,-12,-18
-18,-5,-1,0,0,-19,-6,-12,-18
-18,-5,-1,0,0,-18,-6,-12,-18
-17,-5,-1,0,0,-17,-6,-12,-18
-15,-5,-1,0,0,-17,-5,-11,-18
-15,-5,-1,0,-1,-16,-4,-11,-18
-13,-5,-1,0,-1,-16,-4,-11,-18
-13,-5,-1,0,-1,-15,-4,-11,-17
-12,-4,-1,0,-1,-15,-4,-11,-17
-11,-4,-1,0,-1,-15,-4,-10,-17
-11,-4,-1,0,-1,-14,-4,-10,-17
-11,-4,-1,0,-1,-14,-4,-10,-17
-11,-4,-1,0,-1,-14,-3,-10,-16
-11,-4,-1,0,-1,-14,-3,-10,-16
-11,-4,-1,0,-1,-14,-3,-9,-15
-11,-4,-1,0,-1,-14,-3,-9,-15
-12,-4,-1,0,-1,-14,-3,-9,-15
-12,-4,-1,0,-1,-14,-4,-10,-15
-12,-4,-1,0,-1,-14,-4,-10,-15
-11,-4,-1,0,-1,-14,-3,-10,-15
-11,-4,-1,0,-1,-14,-3,-10,-15
-11,-4,-1,0,-1,-14,-3,-9,-15
-11,-4,-1,0,-1,-14,-3,-9,-15
-12,-4,-1,0,-1,-14,-3,-9,-15
-12,-4,-1,0,-1,-15,-4,-10,-16
-14,-5,-1,0,-1,-16,-5,-10,-16
-18,-5,-1,0,-1,-16,-5,-11,-18
-18,-5,-1,0,-1,-19,-6,-11,-18
-18,-5,-1,0,0,-19,-6,-11,-18
-18,-5,-1,0,0,-21,-7,-12,-18
-18,-5,-1,0,0,-21,-7,-12,-18
-18,-5,-1,0,0,-21,-8,-12,-19
-18,-5,-1,0,0,-21,-8,-12,-19
-18,-5,-1,0,0,-21,-8,-12,-19
-18,-5,-1,0,0,-21,-7,-12,-19
-18,-5,-1,0,0,-21,-7,-12,-19
-18,-5,-1,0,0,-20,-7,-12,-18
-18,-5,-1,0,0,-20,-7,-12,-18
-17,-5,-1,0,0,-20,-7,-12,-18
-17,-5,-1,0,-1,-18,-6,-11,-18
-16,-5,-1,0,-1,-18,-6,-11,-18
-13,-4,-1,0,-1,-17,-5,-11,-18
-13,-4,-1,0,-1,-15,-4,-11,-18
-11,-3,-1,0,-1,-15,-4,-10,-16
-11,-3,-1,0,-1,-14,-3,-9,-14
-9,-2,-1,-1,-1,-14,-3,-9,-14
-8,-2,-1,-1,-1,-14,-3,-7,-12
-8,-2,-1,0,-1,-13,-2,-7,-12
-8,-2,-1,0,-1,-13,-2,-6,-11
-8,-2,-1,0,-1,-13,-2,-6,-11
-9,-2,-1,0,-1,-13,-2,-6,-11
-9,-2,-1,0,-1,-14,-2,-6,-11
-9,-3,-1,0,-1,-14,-2,-6,-11
-10,-3,-1,0,-1,-14,-3,-7,-12
-10,-3,-1,0,-1,-14,-3,-7,-12
-11,-4,-1,0,-1,-14,-3,-7,-13
-11,-4,-1,0,-1,-14,-3,-8,-14
-13,-4,-1,0,-1,-16,-4,-8,-14
-16,-5,-1,0,-1,-16,-4,-10,-17
-16,-5,-1,0,0,-17,-5,-11,-17
-18,-5,-1,0,0,-17,-5,-11,-18
