2020-06-11 05:01:02.372 connected to tcp://127.0.0.1:4242 (status=None)
2020-06-11 05:01:02.551 --> new channel b'88fdeff7cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:02.555 -x- closed channel b'88fdeff7cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:03.347 --> new channel b'88fdeff8cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:03.351 -x- closed channel b'88fdeff8cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:03.470 --> new channel b'88fdeff9cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:03.474 -x- closed channel b'88fdeff9cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:06.682 --> new channel b'88fdeffacf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:06.686 -x- closed channel b'88fdeffacf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:06.804 --> new channel b'88fdeffbcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:06.808 -x- closed channel b'88fdeffbcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:08.610 --> new channel b'88fdeffccf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:08.614 -x- closed channel b'88fdeffccf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:09.328 --> new channel b'88fdeffdcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:09.331 -x- closed channel b'88fdeffdcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:09.471 --> new channel b'88fdeffecf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:09.474 -x- closed channel b'88fdeffecf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:09.594 --> new channel b'88fdefffcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:09.597 -x- closed channel b'88fdefffcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:11.183 --> new channel b'88fdf000cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:11.187 -x- closed channel b'88fdf000cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:11.306 --> new channel b'88fdf001cf6c46d7b3825d2b731ef3ac'
